platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,roshtein,ROSHTEIN,72550899,1064062,30043,19030,3355,2549,1891308,Slots,https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-300x300.png,SE,en,without status,Male
twitch,sodapoppin,sodapoppin,26301881,1046502,35638,17322,3625,2784,2295788,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male
twitch,otplol_,otplol_,622498423,986878,118042,5875,10080,4036,1908520,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/787bd9dd-9367-45ed-a44d-d755427549b8-profile_image-300x300.png,FR,fr,partner,Organization
twitch,loud_coringa,loud_coringa,569325723,982283,59247,26851,2195,14567,2628261,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png,BR,pt,partner,Male
twitch,juansguarnizo,juansguarnizo,121510236,961876,55727,26056,2215,41296,3832871,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png,CO,es,partner,Male
twitch,nickmercs,NICKMERCS,15564828,935369,35783,20672,2715,2996,2337202,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-300x300.png,US,en,partner,Male
twitch,illojuan,IlloJuan,90075649,917611,51062,29842,1845,15913,2331445,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/cc0c14c3-c7a6-4984-91ae-6a66abb18d39-profile_image-300x300.png,ES,es,partner,Male
twitch,k3soju,k3soju,128293484,898597,18682,12762,4225,3150,1165803,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male
twitch,rubius,Rubius,39276140,872585,50673,27412,1910,26976,3514814,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg,ES,es,partner,Male
twitch,handongsuk,한동숙,139470326,870762,30584,14374,3635,1443,2486394,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png,KR,ko,partner,Male
twitch,tisischubech,TisiSchubech,52345220,807286,62510,24968,1940,47811,,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/c29becb5-b45d-4ec5-9b1c-e5ce44b6e6d6-profile_image-300x300.png,DE,de,partner,Male
twitch,tsm_imperialhal,TSM_ImperialHal,146922206,805327,28573,16492,2930,7412,2112812,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/039b8034-2b66-4d30-97ec-15bf08f219d9-profile_image-300x300.png,US,en,partner,Male
twitch,luquet4,LuquEt4,267635380,804583,42492,19908,2425,25965,2811217,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-300x300.png,BR,pt,partner,Male
twitch,hanryang1125,풍월량,103825127,797868,20337,13897,3445,417,1459996,Dark and Darker,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-300x300.png,KR,ko,partner,Male
